detector_index,slope_MeV_per_channel,intercept_MeV,cv_error_MeV,r_squared,n_calibration_points,p_value,std_error,quality_flag
114,0.0011354839671907835,-0.038111371366437385,0.07574685819952218,0.9772095440713334,4,0.011460904126026298,0.00012261642942324038,good
115,0.001121545883155681,-0.03197974950365068,0.07568767141607716,0.978440537902131,4,0.010838467234935865,0.00011772095847196323,good
116,0.0012085519610433733,-0.09572509531539031,0.009767266844467076,0.9997408007107433,4,0.00012960804375083954,1.3760161287578322e-05,good
117,0.0009893774520689908,0.04193504330446385,0.061143736110650417,0.998495851370094,3,0.02469644449932335,3.840026773757594e-05,good
118,0.0009959098017538546,0.042366897032557915,0.05898281767437552,0.9985877647834638,3,0.023929626249012816,3.745246484518163e-05,good
119,0.0010119845482780276,0.036179372467371684,0.05634890250214671,0.998697002925987,3,0.022985089670017635,3.6553479915051696e-05,good
120,0.00116909008601177,-0.02754387958352189,0.07867753056558985,0.9751245564380792,4,0.01251604750351554,0.00013203478114809123,good
121,0.0010012819396744178,0.04238768916683788,0.06247304082771014,0.9984383194633302,3,0.025164559049964754,3.959969685516798e-05,good
122,0.0011193466111315182,-0.026758376447784227,0.08030848112121652,0.9749577063303858,4,0.01260053355777746,0.0001268509589864462,good
123,0.0011675057517932061,-0.03968846934632564,0.07760771181656567,0.9758732219137223,4,0.012137042948910713,0.0001298066659406337,good
124,0.0009893774520689908,0.039956288400325946,0.06114373611065057,0.998495851370094,3,0.02469644449932335,3.840026773757594e-05,good
125,0.0010181776746859587,0.033318194222277664,0.0569804898348811,0.9986710951611172,3,0.023212573966104363,3.714148565471034e-05,good
126,0.0012272925716264765,-0.09457319473474968,0.027961340741029683,0.9973050716196499,4,0.0013483732453795085,4.511206506566233e-05,good
127,0.0012225512376091991,-0.09432806254981907,0.022314000257557698,0.9982325902612131,4,0.0008840956819808899,3.637515238421377e-05,good
